2019-08-15_16:52:46;T:;-2;H:;-2;Picture; 2019-08-15_16:52:46
2019-08-15_16:52:47;T:;-2;H:;-2;Picture; 2019-08-15_16:52:47
2019-08-15_16:52:48;T:;-2;H:;-2;Picture; 2019-08-15_16:52:48
2019-08-15_16:52:49;T:;-2;H:;-2;Picture; 2019-08-15_16:52:49
2019-08-15_16:52:49;T:;-2;H:;-2;Picture; 2019-08-15_16:52:49
2019-08-15_16:52:50;T:;-2;H:;-2;Picture; 2019-08-15_16:52:50
2019-08-15_16:52:51;T:;-2;H:;-2;Picture; 2019-08-15_16:52:51
2019-08-15_16:52:51;T:;-2;H:;-2;Picture; 2019-08-15_16:52:51
2019-08-15_16:52:53;T:;-2;H:;-2;Picture; 2019-08-15_16:52:53
2019-08-15_16:52:53;T:;-2;H:;-2;Picture; 2019-08-15_16:52:53
2019-08-15_16:52:54;T:;-2;H:;-2;Picture; 2019-08-15_16:52:54
2019-08-15_16:52:57;T:;18.600000381469727;H:;53.400001525878906
2019-08-15_16:52:58;T:;-2;H:;-2;Picture; 2019-08-15_16:52:58
2019-08-15_16:53:00;T:;-2;H:;-2;Picture; 2019-08-15_16:53:00
2019-08-15_16:53:01;T:;-2;H:;-2;Picture; 2019-08-15_16:53:01
2019-08-15_16:53:02;T:;-2;H:;-2;Picture; 2019-08-15_16:53:02
2019-08-15_16:53:02;T:;-2;H:;-2;Picture; 2019-08-15_16:53:02
2019-08-15_16:53:03;T:;-2;H:;-2;Picture; 2019-08-15_16:53:03
2019-08-15_16:53:07;T:;18.700000762939453;H:;53.099998474121094
2019-08-15_16:53:09;T:;-2;H:;-2;Picture; 2019-08-15_16:53:09
2019-08-15_16:53:09;T:;-2;H:;-2;Picture; 2019-08-15_16:53:09
2019-08-15_16:53:12;T:;-2;H:;-2;Picture; 2019-08-15_16:53:12
2019-08-15_16:53:13;T:;-2;H:;-2;Picture; 2019-08-15_16:53:13
2019-08-15_16:53:14;T:;-2;H:;-2;Picture; 2019-08-15_16:53:14
2019-08-15_16:53:14;T:;-2;H:;-2;Picture; 2019-08-15_16:53:14
2019-08-15_16:53:15;T:;-2;H:;-2;Picture; 2019-08-15_16:53:15
2019-08-15_16:53:17;T:;-2;H:;-2;Picture; 2019-08-15_16:53:17
2019-08-15_16:53:17;T:;18.600000381469727;H:;53.20000076293945
2019-08-15_16:53:18;T:;-2;H:;-2;Picture; 2019-08-15_16:53:18
2019-08-15_16:53:20;T:;-2;H:;-2;Picture; 2019-08-15_16:53:20
2019-08-15_16:53:20;T:;-2;H:;-2;Picture; 2019-08-15_16:53:20
2019-08-15_16:53:21;T:;-2;H:;-2;Picture; 2019-08-15_16:53:21
2019-08-15_16:53:23;T:;-2;H:;-2;Picture; 2019-08-15_16:53:23
2019-08-15_16:53:25;T:;-2;H:;-2;Picture; 2019-08-15_16:53:25
2019-08-15_16:53:26;T:;-2;H:;-2;Picture; 2019-08-15_16:53:26
2019-08-15_16:53:27;T:;-2;H:;-2;Picture; 2019-08-15_16:53:27
2019-08-15_16:53:28;T:;18.700000762939453;H:;53.29999923706055
2019-08-15_16:53:29;T:;-2;H:;-2;Picture; 2019-08-15_16:53:29
2019-08-15_16:53:30;T:;-2;H:;-2;Picture; 2019-08-15_16:53:30
2019-08-15_16:53:31;T:;-2;H:;-2;Picture; 2019-08-15_16:53:31
2019-08-15_16:53:33;T:;-2;H:;-2;Picture; 2019-08-15_16:53:33
2019-08-15_16:53:33;T:;-2;H:;-2;Picture; 2019-08-15_16:53:33
2019-08-15_16:53:34;T:;-2;H:;-2;Picture; 2019-08-15_16:53:34
2019-08-15_16:53:35;T:;-2;H:;-2;Picture; 2019-08-15_16:53:35
2019-08-15_16:53:36;T:;-2;H:;-2;Picture; 2019-08-15_16:53:36
2019-08-15_16:53:36;T:;-2;H:;-2;Picture; 2019-08-15_16:53:36
2019-08-15_16:53:37;T:;-2;H:;-2;Picture; 2019-08-15_16:53:37
2019-08-15_16:53:45;T:;18.700000762939453;H:;53.0
